Name,Ticker,Identifier,SEDOL,Weight,Sector,Shares Held,Local Currency
M&T Bank Corporation,MTB,55261F10,2340168,2.391034,Financials,934648.0,USD
Baker Hughes Company Class A,BKR,05722G10,BDHLTQ5,1.61995,Energy,2877972.0,USD
Chevron Corporation,CVX,16676410,2838555,1.555789,Energy,612593.0,USD
Newmont Corporation,NEM,65163910,2636607,1.550482,Materials,1235058.0,USD
Valero Energy Corporation,VLO,91913Y10,2041364,1.542996,Energy,991304.0,USD
Sempra Energy,SRE,81685110,2138158,1.524874,Utilities,591815.0,USD
Iron Mountain Inc.,IRM,46284V10,BVFTF03,1.514662,Real Estate,1755869.0,USD
AbbVie Inc.,ABBV,00287Y10,B92SR70,1.474486,Health Care,589474.0,USD
Ventas Inc.,VTR,92276F10,2927925,1.463023,Real Estate,1506332.0,USD
ONEOK Inc.,OKE,68268010,2130109,1.461214,Energy,1328804.0,USD
Marathon Petroleum Corporation,MPC,56585A10,B3K3L40,1.45478,Energy,1106789.0,USD
Williams Companies Inc.,WMB,96945710,2967181,1.436209,Energy,2755784.0,USD
EOG Resources Inc.,EOG,26875P10,2318024,1.421577,Energy,761447.0,USD
Bristol-Myers Squibb Company,BMY,11012210,2126335,1.418678,Health Care,1244315.0,USD
NiSource Inc,NI,65473P10,2645409,1.412098,Utilities,2881214.0,USD
Consolidated Edison Inc.,ED,20911510,2216850,1.401358,Utilities,950205.0,USD
Exxon Mobil Corporation,XOM,30231G10,2326618,1.375258,Energy,1070320.0,USD
Organon & Co.,OGN,68622V10,BLDC8J4,1.372531,Health Care,2558506.0,USD
Edison International,EIX,28102010,2829515,1.36857,Utilities,1251059.0,USD
Welltower Inc.,WELL,95040Q10,BYVYHH4,1.366825,Real Estate,905724.0,USD
Dow Inc.,DOW,26055710,BHXCF84,1.360871,Materials,1375983.0,USD
American Electric Power Company Inc.,AEP,02553710,2026242,1.359528,Utilities,874215.0,USD
FirstEnergy Corp.,FE,33793210,2100920,1.349461,Utilities,1885948.0,USD
Cardinal Health Inc.,CAH,14149Y10,2175672,1.343254,Health Care,1533272.0,USD
Pinnacle West Capital Corporation,PNW,72348410,2048804,1.343087,Utilities,1102698.0,USD
Boston Properties Inc.,BXP,10112110,2019479,1.342882,Real Estate,677310.0,USD
Kinder Morgan Inc Class P,KMI,49456B10,B3NQ4P8,1.34136,Energy,4498129.0,USD
Entergy Corporation,ETR,29364G10,2317087,1.328624,Utilities,720121.0,USD
LyondellBasell Industries NV,LYB,N5374510,B3SPXZ3,1.321465,Materials,834240.0,USD
Kraft Heinz Company,KHC,50075410,BYRY499,1.319485,Consumer Staples,2140841.0,USD
Public Service Enterprise Group Inc,PEG,74457310,2707677,1.314882,Utilities,1210702.0,USD
Duke Energy Corporation,DUK,26441C20,B7VD3F2,1.31182,Utilities,759478.0,USD
Dominion Energy Inc,D,25746U10,2542049,1.309052,Utilities,992653.0,USD
Southern Company,SO,84258710,2829601,1.306439,Utilities,1156370.0,USD
Omnicom Group Inc,OMC,68191910,2279303,1.306117,Communication Services,1030387.0,USD
Amgen Inc.,AMGN,03116210,2023607,1.303795,Health Care,344602.0,USD
Evergy Inc.,EVRG,30034W10,BFMXGR0,1.29538,Utilities,1225344.0,USD
Vornado Realty Trust,VNO,92904210,2933632,1.290941,Real Estate,1880927.0,USD
MetLife Inc.,MET,59156R10,2573209,1.281613,Financials,1191083.0,USD
Prudential Financial Inc.,PRU,74432010,2819118,1.280133,Financials,711903.0,USD
Merck & Co. Inc.,MRK,58933Y10,2778844,1.274909,Health Care,988300.0,USD
Altria Group Inc,MO,02209S10,2692632,1.270486,Consumer Staples,1559691.0,USD
Phillips 66,PSX,71854610,B78C4Y8,1.259523,Energy,940549.0,USD
Kimco Realty Corporation,KIM,49446R10,2491594,1.246273,Real Estate,3277521.0,USD
Realty Income Corporation,O,75610910,2724193,1.2418,Real Estate,1138874.0,USD
Principal Financial Group Inc.,PFG,74251V10,2803014,1.22455,Financials,1079606.0,USD
Hewlett Packard Enterprise Co.,HPE,42824C10,BYVYWS0,1.220179,Information Technology,4838907.0,USD
International Business Machines Corporation,IBM,45920010,2005973,1.217256,Information Technology,604758.0,USD
Healthpeak Properties Inc.,PEAK,42250P10,BJBLRK3,1.217222,Real Estate,2234883.0,USD
Regency Centers Corporation,REG,75884910,2726177,1.205135,Real Estate,1099018.0,USD
Federal Realty Investment Trust,FRT,31374510,BN7P9B2,1.203334,Real Estate,633280.0,USD
General Mills Inc.,GIS,37033410,2367026,1.202628,Consumer Staples,1136444.0,USD
Campbell Soup Company,CPB,13442910,2162845,1.194972,Consumer Staples,1719039.0,USD
Verizon Communications Inc.,VZ,92343V10,2090571,1.192392,Communication Services,1471075.0,USD
Kellogg Company,K,48783610,2486813,1.187566,Consumer Staples,1176853.0,USD
Interpublic Group of Companies Inc.,IPG,46069010,2466321,1.187188,Communication Services,2187807.0,USD
Comerica Incorporated,CMA,20034010,2212870,1.186999,Financials,860575.0,USD
PPL Corporation,PPL,69351T10,2680905,1.168709,Utilities,2635533.0,USD
Conagra Brands Inc.,CAG,20588710,2215460,1.163188,Consumer Staples,2206403.0,USD
Amcor PLC,AMCR,G0250X10,BJ1F307,1.159305,Materials,6535818.0,USD
Philip Morris International Inc.,PM,71817210,B2PKRQ3,1.152236,Consumer Staples,774550.0,USD
International Paper Company,IP,46014610,2465254,1.145572,Materials,1615302.0,USD
Lumen Technologies Inc.,LUMN,55024110,BMDH249,1.132991,Communication Services,6359769.0,USD
Regions Financial Corporation,RF,7591EP10,B01R311,1.125115,Financials,3391633.0,USD
Newell Brands Inc,NWL,65122910,2635701,1.118391,Consumer Discretionary,3327961.0,USD
U.S. Bancorp,USB,90297330,2736035,1.115816,Financials,1371374.0,USD
Huntington Bancshares Incorporated,HBAN,44615010,2445966,1.111381,Financials,4981267.0,USD
Simon Property Group Inc.,SPG,82880610,2812452,1.108335,Real Estate,533207.0,USD
AT&T Inc.,T,00206R10,2831811,1.105013,Communication Services,2957707.0,USD
Truist Financial Corporation,TFC,89832Q10,BKP7287,1.067935,Financials,1250545.0,USD
Gilead Sciences Inc.,GILD,37555810,2369174,1.065052,Health Care,1136163.0,USD
Franklin Resources Inc.,BEN,35461310,2350684,1.064346,Financials,2458434.0,USD
Kimberly-Clark Corporation,KMB,49436810,2491839,1.061335,Consumer Staples,549436.0,USD
3M Company,MMM,88579Y10,2595708,1.041651,Industrials,450856.0,USD
KeyCorp,KEY,49326710,2490911,1.03947,Financials,3117485.0,USD
Citizens Financial Group Inc.,CFG,17461010,BQRX1X3,1.025869,Financials,1524572.0,USD
Citigroup Inc.,C,17296742,2297907,1.013635,Financials,1242487.0,USD
Walgreens Boots Alliance Inc,WBA,93142710,BTN1Y44,0.997396,Consumer Staples,1487380.0,USD
Viatris Inc.,VTRS,92556V10,BMWS3X9,0.909514,Health Care,5425300.0,USD
STATE STREET INSTITUTIONAL LIQ STATE STR,964WKM90,964WKM90,Unassigned,0.222855,Unassigned,14423344.09,USD
U.S. Dollar,CASH_USD,CASH_USD,Unassigned,-1.384107,Unassigned,-89580507.15,USD
