symbol,name,percent,shares,fund
VAL,Valaris Ltd,5.01,N/A,XES
HP,Helmerich & Payne,4.87,N/A,XES
NEX,Nextier Oilfield Solutions Inc,4.87,N/A,XES
FTI,Technipfmc Plc,4.62,N/A,XES
HAL,Halliburton Company,4.57,N/A,XES
NBR,Nabors Industries,4.55,N/A,XES
WHD,Cactus Inc Cl A,4.52,N/A,XES
LBRT,Liberty Oilfield Services Inc,4.45,N/A,XES
SLB,Schlumberger N.V.,4.35,N/A,XES
BKR,Baker Hughes A Ge Co. Cl A,4.34,N/A,XES
PTEN,Patterson-Uti Energy,4.33,N/A,XES
RIG,Transocean Inc,4.25,N/A,XES
CHX,Championx Corp,4.19,N/A,XES
NOV,Nov Inc,4.17,N/A,XES
SLCA,U.S. Silica Holdings Inc,3.83,N/A,XES
CLB,Core Laboratories N.V.,3.82,N/A,XES
NE,Noble Corp Plc,3.31,N/A,XES
PUMP,Propetro Holding Corp,3.30,N/A,XES
OII,Oceaneering International,3.22,N/A,XES
DRQ,Dril-Quip,2.98,N/A,XES
XPRO,Expro Group Hldgs N.V.,2.87,N/A,XES
AROC,Archrock Inc,2.85,N/A,XES
HLX,Helix Energy Solutions Group,1.98,N/A,XES
OIS,Oil States International,1.90,N/A,XES
RES,RPC Inc,1.86,N/A,XES
BOOM,Dynamic Materials,1.29,N/A,XES
TTI,Tetra Technologies,1.03,N/A,XES
WTTR,Select Energy Services Inc,0.99,N/A,XES
TDW,Tidewater Inc,0.84,N/A,XES
VTOL,Bristow Group Inc,0.78,N/A,XES
XES,S&P Oil & Gas Eqpt & Services SPDR,0.00,N/A,XES
